date,item_name,price,price_per_unit,sale_price,store
2024-08-21,"Fresh Ginger Root, Each",0.92,$3.67/lb,N/A,Walmart
2024-08-21,"Marketside Chef Salad with Uncured Ham and Turkey, 7.25 oz Bowl, Fresh",2.97,41.0 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Medley Baby Potatoes, 1.5 lb Bag",3.54,$2.36/lb,N/A,Walmart
2024-08-21,"Marketside Caesar Salad with Chicken, 6.25 oz Bowl, Fresh",2.97,47.5 ¢/oz,N/A,Walmart
2024-08-21,"Green Giant Extra Sweet Corn on The Cob, 12 oz, 12 Ct (Frozen)",4.93,41.1 ¢/ea,N/A,Walmart
2024-08-21,"Fresh Gala Apple, Each",0.69,$1.37/lb,N/A,Walmart
2024-08-21,"Fresh Yellow Mangoes, Each",0.64,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,"Fresh Baby-Cut Carrots, 2lb Bag",2.52,7.9 ¢/oz,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,"Fresh Envy Apples, 3 lb Bag",6.44,$2.15/lb,N/A,Walmart
2024-08-21,"Pitaya Foods Frozen Ripe Baked Plantain Slices for Snacks, 12oz, 1 Pouch",4.98,41.5 ¢/oz,N/A,Walmart
2024-08-21,"Cleveland Kitchen Gluten-Free Classic Kimchi, 16 oz Pouch",4.94,30.9 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Sliced Baby Bella Mushrooms, 8 oz",2.38,29.8 ¢/oz,N/A,Walmart
2024-08-21,"Russet Potatoes, 10 lb Bag, Whole",6.97,69.7 ¢/lb,N/A,Walmart
2024-08-21,"Fresh Celery Sticks, 20 oz Bag",2.88,14.4 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Strawberries, 8.8 oz Container",1.84,20.9 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Large Hass Avocado Bag, 3- 4 Count",6.48,N/A,N/A,Walmart
2024-08-21,"Fresh Idaho Potatoes, 5 lb Bag",3.38,67.6 ¢/lb,N/A,Walmart
2024-08-21,"Fresh Blackberries, 12 oz Container",5.14,42.8 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Cranberry Walnut Salad, 4.5 oz Bowl, Fresh",2.97,66.0 ¢/oz,N/A,Walmart
2024-08-21,"Taylor Farms Caesar Mini Salad Kit, 4.42 oz Bag, Fresh",1.98,44.8 ¢/oz,N/A,Walmart
2024-08-21,"Green Giant Fresh Washed & Trimmed Green Leaf Lettuce, 7 oz",2.97,42.4 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Shredded Carrots, 10 oz Bag",1.87,18.7 ¢/oz,N/A,Walmart
2024-08-21,"Red Potatoes Whole Fresh, 5 lb Bag",7.48,$1.50/lb,N/A,Walmart
2024-08-21,"Marketside Fresh Halved Brussels Sprouts, 12 oz",3.28,27.3 ¢/oz,N/A,Walmart
2024-08-21,"Organic Fresh Whole Carrots, 2 lb Bag",2.14,6.7 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Fresh Celery Sticks, 1.6 oz, 4 Pack",1.97,30.8 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Cobb Salad with Turkey and Uncured Bacon Salad, 7.25 oz Bowl, Fresh",2.97,41.0 ¢/oz,N/A,Walmart
2024-08-21,"Yellow Potatoes Whole Fresh, 5lb Bag",7.48,$1.50/lb,N/A,Walmart
2024-08-21,"Fresh Italian Parsley Bunch, Each",0.88,N/A,N/A,Walmart
2024-08-21,"Fresh Black Seedless Grapes, Bag (2.25 lbs/Bag Est.)",6.03,N/A,3.78,Walmart
2024-08-21,"Fresh Raspberries, 6 oz Container",3.57,59.5 ¢/oz,N/A,Walmart
2024-08-21,"Fresh USDA Organic Strawberries, 1 lb Container",4.17,26.1 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Santa Fe Style Salad with Chicken, 6.35 oz Bowl, Fresh",2.97,46.8 ¢/oz,N/A,Walmart
2024-08-21,"Freshness Guaranteed Rotisserie Seasoned White Meat Chicken Salad, 3 oz, 4 Count",5.97,49.8 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Kale Pecan Cranberry Chopped Salad Kit, 7 oz Bag, Fresh",3.98,$3.98,3.48,Walmart
2024-08-21,"Fresh Fuji Apples, 3 lb Bag",5.18,$1.73/lb,N/A,Walmart
2024-08-21,"Marketside Organic Baby Arugula Salad, 5 oz Clam Shell, Fresh",2.98,59.6 ¢/oz,N/A,Walmart
2024-08-21,"Freshness Guaranteed Fresh Rotisserie Seasoned White Meat Chicken Salad, 12 oz",5.94,49.5 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Slicing Tomato, 2 Pack",1.98,N/A,N/A,Walmart
2024-08-21,"Marketside Fresh Asparagus Spears, 10 oz",3.77,37.7 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Spinach and Spring Mix Salad Blend, 11 oz Clam Shell, Fresh",3.98,36.2 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Granny Smith Apples, 3 lb Bag",4.96,$1.65/lb,N/A,Walmart
2024-08-21,"Marketside Fresh Cauliflower Florets, 12 oz",2.47,20.6 ¢/ounces,N/A,Walmart
2024-08-21,"Marketside Southwest Chopped Salad Kit, 10.3 oz Bag, Fresh",3.98,$3.98,3.48,Walmart
2024-08-21,"Taylor Farms Apple & Walnut Salad, 5.5oz (Fresh)",2.97,54.0 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Fresh Vegetable Medley Blend, 12 oz",2.47,20.6 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Bluey Kiwi Fruit, 1 lb Clamshell",3.12,$3.12/lb,N/A,Walmart
2024-08-21,Fresh Purple Eggplant,2.20,$1.58/lb,N/A,Walmart
2024-08-21,"Nasoya Refrigerated Soy Extra Firm Organic Tofu, 14 oz",2.98,21.3 ¢/oz,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,"Fresh Envy Apples, 3 lb Bag",6.44,$2.15/lb,N/A,Walmart
2024-08-21,"Pitaya Foods Frozen Ripe Baked Plantain Slices for Snacks, 12oz, 1 Pouch",4.98,41.5 ¢/oz,N/A,Walmart
2024-08-21,"Cleveland Kitchen Gluten-Free Classic Kimchi, 16 oz Pouch",4.94,30.9 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Pink Lady Apples, 3lb Bag",5.16,$1.72/lb,N/A,Walmart
2024-08-21,"Freshness Guaranteed Mild Guacamole Mini Cups, 12 oz Box, 6 Count",4.18,34.8 ¢/oz,N/A,Walmart
2024-08-21,"Del Monte Red Grapefruit, No Sugar Added, 7 oz. Cup, Fresh Refrigerated Fruit",1.77,$1.77,1.28,Walmart
2024-08-21,"Crunch Pak Snack Featuring Bluey with Fresh Sliced Peeled Apples, Pretzels, and Cheese, 2.5oz Tray",1.47,58.8 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Granny Smith Apple, Each",1.00,$1.67/lb,N/A,Walmart
2024-08-21,"Microwaveable Russet Potato Whole Fresh, Each",1.18,N/A,N/A,Walmart
2024-08-21,"Marketside Premium Romaine Salad Blend, 18 oz Bag, Fresh",5.24,29.1 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Red Delicious Apple, Each",1.10,$1.84/lb,N/A,Walmart
2024-08-21,"Fresh Celery Hearts, Each",2.72,N/A,N/A,Walmart
2024-08-21,"Taylor Farms Everything Chopped Salad Kit, 11.57 oz Bag, Fresh",3.98,34.4 ¢/oz,N/A,Walmart
2024-08-21,"Spice World Fresh Peeled Garlic, 6 oz",2.98,49.7 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Red Baby Potatoes, 1.5 lb Bag",3.54,$2.36/lb,N/A,Walmart
2024-08-21,"Fresh Romaine Lettuce, Each",2.37,N/A,N/A,Walmart
2024-08-21,"Marketside Butter Lettuce Salad Blend, 6 oz Bag, Fresh",2.73,45.5 ¢/oz,N/A,Walmart
2024-08-21,"Taylor Farms Caesar Salad with Bacon and Chicken, 5.75 oz (Fresh)",2.97,51.7 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Fresh Broccoli Florets, 32 oz",5.98,18.7 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Honeydew Melon, Each",4.48,N/A,N/A,Walmart
2024-08-21,"Crunch Pak Snack Featuring Bluey with Fresh Peeled Apples, Fruit Snacks, and Crackers, 4.25 oz Tray",2.97,$2.97,2.47,Walmart
2024-08-21,"Fresh Bagged Radish, Each",1.86,31.0 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Classic Iceberg Salad, 24 oz Bag, Fresh",3.14,13.1 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Organic Spring Mix Salad Blend, 16 oz. Clam Shell, Fresh",4.98,31.1 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Red Onions, 3 lb Bag",5.48,$1.83/lb,N/A,Walmart
